10	65	0.010
4	46	0.030
21	32	0.050
48	30	0.070
31	47	0.090
48	96	0.110
9	89	0.130
37	58	0.150
3	2	0.170
31	93	0.190
6	53	0.210
40	36	0.230
39	79	0.250
50	0	0.270
38	97	0.290
37	75	0.310
25	13	0.330
25	61	0.350
26	0	0.370
37	65	0.390
22	65	0.410
6	74	0.430
27	54	0.450
33	84	0.470
4	74	0.490
1	76	0.510
30	55	0.530
25	64	0.550
43	74	0.570
11	87	0.590
28	40	0.610
49	48	0.630
22	78	0.650
15	22	0.670
29	32	0.690
20	67	0.710
29	46	0.730
9	15	0.750
7	36	0.770
23	11	0.790
15	55	0.670
47	42	0.690
31	94	0.710
0	56	0.730
40	100	0.010
13	13	0.030
8	6	0.050
41	91	0.070
7	50	0.090
9	13	0.110
